Date,Title,article
"Updated: Dec 1, 2011, 03:50 IST",Thesis: HIV/AIDS households poorer,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Prithvijit Mitra & Ankita Chaudhuri,Updated: Dec 1, 2011, 03:16 IST",Rural docs script HIV 'positive' story,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 1, 2011, 02:29 IST",HIV positive rate declines as voluntary screenings rise in Himachal,"

  SHIMLA: With increase in the number of people coming forward for voluntary screening for HIV in the hill state, there has been a significant decline in the rate of HIV positive cases from 3.7% in 2008 to 0.9%.
  
  ,
  According to latest statistics, 1563 persons are infected with , and 5694 are HIV positive, compared to 1145(AIDS cases) and 4829 (HIV positive cases) in 2010, revealed project director of state AIDS control society (SACS) Dr M K Pathak. ""The graph of HIV positive cases has declined significantly due to awareness amongst people and strong advocacy and sensitization programmes in four years,"" he claimed.
  ,
  ,
  ""During this period, 3,29,900 persons have been screened for HIV, including 1,17,179 pregnant women. It is hard to estimate how many full blown AIDS and HIV positive cases are there in the state, as the screenings undertaken are on those who volunteer as well for pregnant women to avoid infections to the child,"" Dr Pathak said.
  ,
  ,
  Significantly, the district of Lahaul & Spiti has not reported AIDS cases in the four-year period and districts Kangra, Hamirpur, Mandi and Bilaspur reporting most number of cases, followed by Solan, Shimla, Chamba, Kullu and Sirmaur.
  ,
  ,
  The number of integrated counselling centres (ICTC) has gone up from 21 in 2007 to 49 in 2011. At present 1571 patients are undergoing treatments in the state at anti-retroviral therapy (ART) centers including those in Tanda, Hamirpur and Shimla.""The predominant cause of HIV infections in the state remains unsafe sexual relations and the incidence of infections due to contaminated syringes and blood is quite low,"" he said.
  ,
  ,
  Apart from the existing 49 ICTC, 66 new facility integrated centres will be added.
  ,
  ,
  

"
"Updated: Nov 30, 2011, 22:25 IST","Finally, HIV taboo is losing its grip","

  ,
    ,
    ""Many positive developments have taken place in the last one decade and they have bolstered our confidence to fight against social stigma and lack of awareness about HIV infection in the region. Though there is a long way to go for changing the mindset of society about the HIV infection, the progress made in the last one decade has been encouraging and promising,"" said Manoj Singh, president of Banaras Network for Positive People Living with ,, a social and voluntary organisation run by HIV positive people in the city.
  
  ,
  ,
  ,
  ,
  ,

"
"Updated: Nov 30, 2011, 05:27 IST","Almost 50% HIV affected are under 30, study reveals","

  AHMEDABAD: An all-India survey conducted ahead of 'World AIDS Day' on Thursday indicates that maximum incidence of , in both men and women was reported in age group of under 30 years.
  
  ,
  A total 9,18,277 people were screened for Human Immunodeficiency Virus (HIV) presence in eight major cities — Ahmedabad, Surat, Mumbai, Noida, Chennai, Kolkata, Pune and Kerela.
  ,
  ,
  In Gujarat, 6,170 people were screened between January 2010 and September 2011 wherein 180 people tested positive. Of those who tested positive, 47.22% were below 30 years of age. In addition, 23% people were in 30-40 years of age group. Only 16% were between 40-50 years while 12.77% were above 50 years of age.
  ,
  ,
  Highest frequency was predictably in men as 64.44% of those who tasted positive were males while 34.44% were women. Only 1.12% of those detected positive were children.
  ,
  ,
  Chief of lab services of Metropolis Healthcare Dr Jatinder Bhatia said, ""Globally, the incidence of HIV that was rapidly increasing between 1990 and1996 has slowly declined between 1996 and 2010. Various treatment methods and awareness programs helped in controlling the disease by creating mass awareness, educating people about safe sex and ill effects of HIV infection. As per the recent data, the incidence of HIV is maximum in younger age groups i.e. 20-30 years which is a major concern.""
  ,
  ,
  Dr Bhatia said rate of positivity out of the screened tests is less than 10 % in Mumbai and Gujarat but 30 - 40% at other places especially north.
  

"
"Updated: Dec 7, 2011, 08:27 IST","For HIV+ kids, this is home"," Belgaum: Though he himself has little to spare, Mahesh Jadhav, 24, has adopted over 30 orphan children, and most of them are HIV positive. , Two years ago, Jadhav opened 'Adhar', a home for homeless children at Kanbargi here, under the umbrella of Mahesh Foundation, a non-profit NGO. Adhar takes care of the children, whose day begins with physical and mental activities like jogging, exercise, yoga and prayer. , In the initial stage, Mahesh faced social and economic problems, and people began treating him as an HIV patient too, and many kept their distance. Children from the orphanage were twice sent out of school, because of their medical condition. As it was a government primary school, Mahesh fought with officials of the education department and succeeded in readmitting the children into the same school. Most of the children are under 14 years of age. , ""The idea of opening an orphanage for children came to my mind when I was working with Spandana network for the welfare of HIV positive people. Then I decided to open a hostel for such children and work for them,"" Mahesh told The Times of India. , Mahesh was recently awarded the 'Belgaumite of the year' by AllaboutBelgaum.com ""We are giving spiritual education to the children to deal with mental stress, along with school education, medical treatment and nutritious food. Besides, we are trying to provide a social grounding by organizing various social and cultural programmes,"" said Nagaratna, an office-bearer of Mahesh Foundation. , Several families celebrate birthdays, religious and national festivals with these orphan kids. To help generate funds, Mahesh recently launched 'Adhar Club', where one can contribute Rs 100 per month to help the orphan children. About 41 people have joined the club so far. , "
"Padmini Sivarajah,Updated: Dec 7, 2011, 03:56 IST",HIV+ woman may lose custody of adopted daughter,"

  MADURAI: The Madurai Network of Positive People's Society is trying to get a girl child, who was adopted by an HIV positive woman, enrolled in school, as the woman was unaware of the consequences when she decided to bring up this orphan as her own, four years ago.
  
  ,
  Speaking to TOI, ,, president of the society said that the woman , (name changed) (40) had enrolled in the society in 2009 a few weeks after she tested positive for HIV.
  ,
  ,
  ""She is one of those lucky ones where the virus had been dormant for over 15 years,"" said Babu, who himself had tested positive 13 years after being infected.
  ,
  ,
  The woman had told the society members that her husband left her 20 years ago after infecting her with the disease. The couple had a daughter, who was married off last year. However, the woman, who was employed as a sweeper in a private nursing home in Vadipatti near Madurai, hid her HIV condition from her daughter's in-laws.
  ,
  ,
  In the meantime, the woman applied for the Rs 1000 assistance given by the government to , who had been abandoned by their husbands. She had sought Babu's help for obtaining the same. After filing up her application, he asked her to meet him in his office.
  ,
  ,
  ""When she came on Tuesday, I was surprised to see her being accompanied by the four-year-old child,"" he said. When Babu inquired with the woman who the girl was, she told him that it was her daughter.
  ,
  ,
  ""Immediately, I questioned her how she could have such a daughter of that age when her husband had left her 20 years ago. I even asked her angrily if she had an affair,"" he said.
  ,
  ,
  That was when the woman broke down and narrated the story of the girl. She told him that the child was abandoned by her biological mother in the hospital where she worked and the authorities entrusted her with the duty of putting the child in the cradle baby scheme. ""I did not have the heart to abandon the child and decided to bring her up as my own as she would be of support to me,"" she said.
  ,
  ,
  Babu said that he found the woman's claims to be genuine and explained to her that what she had done in her ignorance was a grave mistake. She was told that the child would have to pursue a good education to become self-sustained in future.
  ,
  ,
  ""My only fear is that I will lose this daughter if I have to educate her with the help of officials,"" Jaya told TOI.
  ,
  ,
  Madurai district social welfare officer , told TOI that the woman was not justified in bringing up the child illegally. The child would immediately be handed over to the child welfare committee in Muthupatti and if there are no claimants, then the girl would be produced in court and her foster mother would have to make a claim from there.
  ,
  ,
  ""If the court deems her unfit to bring up the child, she would come under our care and we will take care of its proper adoption,"" she said. Enrolling the child in school is not an immediate possibility according to her.
  

"
"Padmini Sivarajah,Updated: Dec 9, 2011, 02:34 IST",HIV+ woman may lose custody of adopted daughter,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  

"
"Updated: Dec 10, 2011, 04:51 IST",HIV from transfusion: Parents of affected kids seek probe,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 11, 2011, 03:47 IST",Exhibition of donated paintings for HIV+ children,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 11, 2011, 03:44 IST",Exhibition of donated paintings for HIV+ children,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 14, 2011, 01:32 IST",Woman gets HIV from 'infected' blood,"

  NELLORE: A pregnant woman allegedly got infected with , after a , on Sunday. The woman's family members blamed the , for supplying the infected blood. Her enraged relatives ransacked the , society on Monday and the cops had to intervene to pacify the angry protesters.
  
  ,
  The 20-year-old woman (name withheld) from Venkateswara colony in Nellore had married a daily wage earner about a year ago. Upon getting pregnant, she was consulting doctors of a private hospital and got admitted to the hospital on November 2.
  ,
  ,
  The doctors asked her husband to get three units of blood from the Red Cross society as she was anemic. She was going to be subjected to caesarean section operation and would have needed blood transfusion. Her husband bought three units of blood from Red Cross society, which the doctors used for the operation.
  ,
  ,
  She was discharged from hospital a week later with mild fever. However, the woman did not get relief from fever even 15 days after being discharged. Her family members again took her to the hospital where she was subjected to tests. To their utter shock, the blood test report said she had tested positive for HIV. With all the blood tests done before the delivery clearly indicating that she was HIV negative, the doctors suspected that the blood infused during the delivery could have been infected.
  ,
  ,
  The family members rushed to the Red Cross society from where they had got the blood but to their surprise, the officials denied that they had sold any blood to them.
  ,
  ,
  ""They should be arrested and sent to jail for their negligence,"" said Nissar Ahmed, the woman's husband. However, no case has been lodged so far.
  

"
"Updated: Dec 19, 2011, 01:53 IST","Anna threatened with HIV+ needles in anonymous letter, FIR lodged","

  ,
    The police, now beginning to take the threat seriously, have registered an FIR and begun looking for those who sent the letter. The letter states that ""a needle team, which has prepared 500 HIV positive needles, would inject the virus in atleast 1,000 people at the demonstration"".
    ,
    ,
    This anonymous letter was sent to DCP Central office on December 9.
    ,
    ,
    Delhi Police has registered an FIR under sections 505 (2) - statements conducting to public mischief, 506 (criminal intimidation) and 507 (criminal intimidation by anonymous communication) of Indian Penal Code at Daryaganj police station last week and investigations have begun. The police suspect that ""this letter seems to have been posted to the DCP's office from Delhi itself"".
    ,
    ,
    ""We are trying to ascertain the identity of the sender though, after lot of discussions, we have also come to the conclusion that it might be a prank letter sent by some criminals. But since it is related to Anna Hazare, we don't want to take any chances as there is already a threat to his life and to the large number of people who congregate at his demonstrations,"" said a police officer.
    ,
    ,
    The letter had stated that there are around 50 ""volunteers in this needle group who are trained and they would use the needles cleverly on atleast 1,000 people"".
  
  

"
"Updated: Dec 22, 2011, 03:19 IST",Seminar on HIV/AIDS at nursing college,"

  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 26, 2011, 23:15 IST",Civil surgeon faces culpable homicide charge as thalassaemic kids contract HIV,"

  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 25, 2011, 09:49 IST",Hazare fast: 'Fear of HIV through needle unfounded',"

  ,
    ""It is difficult to contract HIV, as the virus does not survive outside human body for long. Virus dies as soon as blood dries. HIV contaminated blood, supposedly used for pricks like the ones described, doesn't pose any real risk of transmission,"" Dr Ishwar S Gilada, Secretary General of the AIDS Society of India, said.
    ,
    ,
    Delhi Police had recently received a letter that threatened to infect Hazare and his followers with HIV virus contaminated needles, if they remained adamant on Lokpal agitation.
    ,
    ,
    The anonymous letter stated that ""a needle team, which has prepared 500 HIV positive needles, would inject the virus in at least 1,000 people at the demonstration"".
    ,
    ,
    ""Ironically, such stories arise from , capital and have a potential to create major panic among the people, particularly among those associated with Hazare's campaign,"" Gilada said.
    ,
    ,
    Unfounded theories of HIV , through casual contacts, needles, eatables and water make panic-stricken people run for help and testing, he remarked.
  
  

"
"Updated: Dec 24, 2011, 02:01 IST",HIV knowledge poor among corporate workforce: Survey,"

  MUMBAI: A , among the city's , workforce shows that 65% of them do not know how to avoid contracting HIV/AIDS, while 25% of the respondents were well aware of the measures to be taken and 10% showed moderate awareness.
  
  ,
  The survey studied the response of 700 persons in the age group of 21 to 60 years and was conducted in corporate firms mainly in south Mumbai.
  ,
  ,
  The study, done by two second year BSc students from KC College, Abhishek Kulkarni and Manasi Agarwal, as part of their science honours programme, shows an acute lack of awareness. Dr Suvarna Sharma was the guide.
  ,
  ,
  Responding to a question whether HIV/AIDS tests should be made compulsory for every one before marriage, 83% of the respondents had said yes, while the remaining 17% had said no.
  ,
  ,
  The study also considered the overall awareness about the disease among men and women in categories like—well aware, fairly aware, moderately aware, less aware and unaware—and the findings indicate that males have a greater degree of overall awareness about knowledge of the disease. About 19.79 % of the men were fairly aware of the disease and its mode of transmission while only 1.25% women had a basic knowledge.
  ,
  ,
  The study also showed that arts graduates showed a higher degree of awareness about HIV/AIDS, followed by science graduates, commerce graduates, MBAs and lastly BTech grads. Around 21% of the respondents felt that the whole thing about HIV/AIDS was hype created by the media.
  ,
  ,
  The findings are all the more shocking when seen in light of the World Health Organization findings, which state that of the 4.8 million , affected people in Asia, 49% are in India. The students' survey is to be presented at ,'s , at the Kalina campus.
  

"
"Updated: Dec 23, 2011, 06:51 IST",African HIV+ patients find solace in Bangalore hospital,"

  BANGALORE: John Potaki, a 31-year-old military officer from Togo, never imagined that his love for life would make him HIV positive, which in turn, would result in lifethreatening kidney failure. A team of doctors from a , came to his rescue: they treated him by transplanting his mother's kidney into him, despite his HIV status.
  
  ,
  John and Mohamed Sayeed (name changed), a nurse from Ethiopia, both HIV positive, underwent successful kidney transplantation and are recovering. ""The transplants, the first such in Karnataka, are considered path-breaking for two reasons: one, nephrologists are seeing a growing number of patients who need kidney transplants because of associated conditions found in HIV+ patients; second, for the HIV+, it is a fight to even find a place that accepts them for dialysis ,"" said ,, senior consultant nephrologist with Narayana Hrudayalaya.
  ,
  ,
  Both John and Mohamed contacted doctors of the hospital through email, after several countries denied them treatment because of their HIV status. After getting positive response from the doctors, they flew down to Bangalore. The doctors put them on pre-transplantation treatment for about four months.
  ,
  ,
  ""It is not the surgical process, but medical management of these patients that is complicated. The patients need to be trained about side-effects of multiple medications ,"" said Dr Vincent.
  ,
  ,
  ,
  ,
  ,
  Although prevalence of HIV is coming down in India, 5% of HIV+ patients are at risk of developing failure of organs like kidney and liver. ""This is because the affected blood flows through these two vital organs and makes them weak,"" said Dr Ishthiaque Ahmed, nephrologist.
  

"
"Updated: Dec 27, 2011, 04:52 IST",HIV+ woman found dead outside SMS,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Dec 27, 2011, 04:38 IST",HIV infection in Gujarat: Civil surgeon faces culpable homicide charge,"

  ,
    ,
    Ravji Sondarva (33) of Junagadh's Rohitdasnagar lodged a complaint against the civil surgeon, staff of the hospital's laboratory and Sarvoday blood bank. They were charged under various sections of the Indian Penal Code, including Section 308 for attempt to culpable homicide, Section 328 for causing hurt by poisoning and Section 114 relating to an abettor who was present when an offence was committed. Police register- ed the complaint following a Gujarat HC order.
  
  

"
"Updated: Dec 23, 2011, 06:27 IST",FIR 6 months after kids got HIV+ blood,"

  AHMEDABAD/JUNAGADH: The , directed police on Thursday to register an FIR in the case of 23 thalassaemic children being given HIV-infected blood during transfusion in Junagadh.
  
  ,
  Parents of the infected children had approached the high court demanding directions to the cops to investigate negligence by the , authorities. Advocate Girish Das has also filed a PIL demanding investigation and Rs 5 lakh compensation for the affected children and their families.
  ,
  ,
  The 23 children came to know that they had been infected with HIV about six months ago when they went for routine check-ups. They were part of a group of 100 children from across Junagadh district, who came to the civil hospital for blood transfusion regularly.
  ,
  ,
  The state government filed an affidavit before the court on Thursday, stating the children might have contracted the infection at non-licensed laboratories where they may have gone for blood transfusion.
  ,
  ,
  Acting chief justice Bhaskar Bhattacharya disagreed with the government's contention and asked its lawyers to file another affidavit with the documents to support the claim. The kids have been infected with a serious disease and the matter needs to be investigated, the court said.
  ,
  ,
  The parents have demanded that the accused be booked for culpable homicide and causing injury by administering stupefy-ing drug or poison with intent to cause harm.
  ,
  ,
  ""We have told the court that the police has not even registered an FIR despite complaints by the parents,"" said advocate Rajesh Dewal, representing the parents.
  ,
  ,
  The petitioners also demanded that the state government should cancel the licence of the blood bank from where the infected blood was sourced. The court, however, said it will decide on the issue only after the government files its final report.
  ,
  ,
  The angry parents joined the Congress' Satkarma fast against chief minister Narendra Modi's Sadbhavana mission fast at Junagadh on Thursday. ""If the CM really wants to show some sadbhavana, these kids are waiting for it. They have been demanding compensation from the state government but no one had the time for them. Finally, their parents had to move the high court for justice,'' said Girish Kotecha, Congress leader and deputy mayor of Junagadh.
  ,
  ,
  The 23 children came to know that they had been infected with HIV six months ago when they went for routine check-ups. They were part of a group of 100 children who came to the civil hospital for blood transfusion regularly.
  

"
"Updated: Jan 1, 2012, 06:01 IST",51-year-old HIV+ man infects thousands in US,"

  LONDON: An HIV-positive man in US has potentially infected thousands of people — by having , so he could spread the disease, according to a media report.
  
  ,
  David Dean Smith, 51, turned himself in to a Michigan police station last week — after claiming to have slept with 3,000 men and women over several years. A detective investigating the case said: ""He says he intentionally attempted to spread the disease to kill people"" . It is unclear when Smith was diagnosed with HIV, but he claims to have known full well what he was doing when he had unprotected sex with many partners.
  ,
  ,
  While he claims that there may be thousands of victims, so far he has been arraigned and charged with two counts of AIDS-sexual penetration with an uninformed partner, 'Daily Mail' reported.
  ,
  ,
  

"
"Updated: Jan 1, 2012, 03:26 IST",She is a ray of hope for the HIV-affected,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 1, 2012, 03:11 IST",Chaos at hospital after woman diagnosed with HIV,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 5, 2012, 02:30 IST",India in fray to create elusive HIV vaccine,"

  NEW DELHI: Could an antibody from the blood of an Indian HIV patient help create the elusive ,? (Antibody is an infection-fighting protein produced by our immune system when it detects harmful substances).
  
  ,
  The hunt has begun to identify 100 volunteers belonging to a rare group of HIV infected patients who stay healthy for years without requiring life-saving antiretroviral treatment (ART). These antibodies in their blood are the ones that bars HIV from entering their blood cells and replicating, thereby progressing to AIDS.
  ,
  ,
  Scientists say these antibodies would ultimately reveal the Achilles heel of the virus and help create the elusive vaccine. This is part of International Aids Vaccine Initiative's (IAVI) programme called Protocol G, a global hunt for such antibodies launched in 2006.
  ,
  ,
  So far, blood samples of 1,800 such HIV patients have been screened across 12 countries and 19 broadly neutralizing antibody (bNAbs) have been identified. A bNAb is an antibody capable of stopping a variety of HIV subtypes from infecting their target cells.
  ,
  ,
  ""Only a minority of people who are infected with HIV produce bNAbs. Although HIV is a wildly mutable virus, certain parts of it are relatively resistant to change. These parts are essential to the virus's ability to infect, and they are the elements of HIV that bNAbs target,"" experts said.
  ,
  ,
  Just a few weeks ago, department of biotechnology (DBT) cleared the proposal to roll out Protocol G in the country. It is being implemented by IAVI and YRG Care from Chennai - the same organization that isolated the first HIV case in India in 1986.
  ,
  ,
  The blood samples collected from the 100 volunteers will be tested at Translational Health Sciences and Technology Institute (THSTI), which is being built in Gurgaon.
  ,
  ,
  IAVI's India chief Dr Rajat Goyal told TOI that ""This is a landmark project for India. We are presently identifying volunteers, who are at least 18 years, infected with HIV at least three years ago but has not received ART. By April, samples will be picked up and tested against a standard panel of HIV isolates by the end of 2012. We will then know whether there is a population of interest from whom these bNAb can be identified and characterized.""
  ,
  ,
   , study of bNAbs is expected to reveal vulnerabilities of the different types of HIV. Most importantly, scientists expect that they can use information about how bNAbs bind to HIV to construct immunogens — the active ingredients of vaccines — that elicit similar antibodies. The more such antibodies researchers have in hand, the more clues they can get about how best to target HIV with a vaccine.
  ,
  ,
  The project has tested HIV patients in ,, the UK, the US, Nigeria, South ,, ,, ,, ,, Australia and , to identify bNAbs.
  ,
  ,
  HIV infects 7,100 people daily. The quest to develop an AIDS vaccine has consumed scientists for 25 years since the discovery of HIV. Scientists say HIV is the most mutable virus ever encountered. A number of different subtypes of the virus, known as clades, circulate in different regions of the world. Within those clades there is considerable variability, and, beyond that, the virus mutates furiously within the people it has infected.
  ,
  ,
  Second, because no one is known to have cleared an HIV infection, scientists do not know which elements of the immune response must be engaged to control the virus — and thus are uncertain how to replicate such responses.
  ,
  ,
  The immune system has a very narrow window of opportunity in which to neutralize HIV before the virus establishes a lifelong infection.
  ,
  ,
  ,
  ,
  ,
  ,
  

"
"Updated: Jan 2, 2012, 07:00 IST",Unravelled: How HIV hits body’s defences,"

  WASHINGTON: Scientists in the US claim to have unravelled how HIV hijacks the body's own defences to promote infection, a finding which may pave the way for curbing the , of ,.
  
  ,
  A team at ,, led by ,, has described how HIV commandeers restriction factors — a class of human proteins that evolved to block viruses — to weaken the body's defences and enhance the virulence of HIV infection, the 'Nature' journal reported.
  ,
  ,
  ""One of the keys to HIV's success is how quickly it can evolve new attack strategies — and the way in which it uses our own proteins against us is a prime example of that,"" said Dr Krogan.
  ,
  ,
  He added: ""However, now that we've shed light on this process, we are , closer to developing new drugs that will help us pull ahead in this evolutionary arms race."" AIDS has killed over 25 million across world since first being identified 30 years ago.
  

"
"Updated: Jan 4, 2012, 06:56 IST",Human trials for HIV vaccine get under way,"

  LONDON: Scientists are carrying out what they claim is the first clinical trial of an injectable vaccine for HIV which causes ,. A team from ,, Hull York Medical School, Medical Research Council Clinical Trial Unit and , is evaluating whether the vaccine is safe for use in human volunteers.
  
  ,
  The vaccine contains trimeric HIV envelope protein (gp140) which can target the virus' most virulent strain Clade C that has caused the greatest number of HIV infections around the globe, infecting half of the 34 million people with HIV.
  ,
  ,
  The trial, which is funded by the Wellcome Trust and goes by the name MUCOVAC2, is evaluating a vaccine that contains the HIV trimeric gp140 protein CN54, representative of Clade C strains of the virus. This clade of HIV is the most prevalent type of virus in Sub-Saharan , and responsible for the greatest number of infections globally. The trimeric protein represents the major target for antibodies on the viral surface.
  ,
  ,
  The vaccine candidate will be formulated with an adjuvant — GLA — developed to enhance immune responsiveness following intramuscular injection. GLA formulations have been previously tested clinically with promising results.
  ,
  ,
  The scientists have enrolled 36 healthy, HIV-negative , aged 18-45 years at St George's University of London and the HYMS Experimental Medicine Unit at York Hospital.
  

"
"Updated: Jan 7, 2012, 23:21 IST",Marriage mela for HIV/AIDS patients goes off well,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 12, 2012, 06:10 IST,Studies on the relationship between migration and HIV conducted by NACO in three popular migration corridors &... ",HIV 10 times more prevalent among migrants than general population,"

  NEW DELHI: Migration is fuelling India's , epidemic. ,'s latest figures show that besides high risk populations like sex workers, the highest burden of HIV is among , — 3.6%, which is 10 times the HIV prevalence among the general population.
  
  ,
  With migration rates increasing, the prevalence will only get worse. According to the 2001 census, 30.1% of the population was considered to have migrated (314 million) — a considerable increase from 27.4% in 1991. NACO has, therefore, identified 108 railway stations - which are both source and destination of migrants travelling in search of work. These are now the focus of the country's anti-HIV fight.
  ,
  ,
  Red Ribbon Express (RRE), which chugs out of Delhi on Thursday, will stop at most of these 108 identified stations to test migrants for HIV besides carrying out counselling and spreading anti-HIV messages. During it's year-long journey, RRE will traverse through 23 states, cover 30,000 km and stop at 162 stations.
  ,
  ,
  Speaking to TOI, a NACO official said, ""Migrants are one of the major focus areas this time with the RRE. Last year, RRE stopped at 152 stations and reached out to 8 million people directly. This time, around 30-40 stops will be to mainly address migrants.""
  ,
  ,
  NACO has identified 122 districts with high out-migration across 11 states which are on priority for starting up community level interventions. Another 75 important transit locations have been identified across these 122 districts from where these migrants usually board long distance trains/buses to reach their destinations.
  ,
  ,
  Studies on the relationship between migration and HIV conducted by NACO in three popular migration corridors — Ganjam-Surat, Darbhanga-Delhi and Azamgarh-Mumbai — threw up shocking findings. It showed that two to four times more number of informal workers had non-regular partners or visited sex workers with only 25% using condoms. Around 5% male migrants and 13% female migrants reported sexually transmitted infections, nearly double , average.
  ,
  ,
  According to NACO, the risk of HIV infection for migrants seems to arise from a multitude of factors -- risky behaviour, lack of social and economic security and involvement in peer driven risk taking activities.
  ,
  ,
  In a recent study by UNDP (through Population Council), the risk of HIV among migrants was reported to be 1.68 times more likely than non-migrants. Majority of migrants are also often poorly educated, with majority reporting less than five years of formal education. This contributes to limited knowledge of ,.
  ,
  ,
  A study conducted in 30 villages in the northern parts of Karnataka revealed that 40% of single men and 35% of married migrant men had non-marital sexual relationships in the last 12 months.
  ,
  ,
  For a long time, India has lived with the belief that migrants are at risk only at destination sites when they are away from home and their spouse. However, recent evidence proves otherwise. Returned migrants continue to fuel the epidemic since most infected migrants tend to return to source when they are sick.
  ,
  ,
  A study of married men found returned migrants were 3.86 times as likely to be HIV positive as compared to active married migrant men. Among men reporting sex with a non-spousal unpaid female sex partner in the past year, only 19% of men reported consistent condom use. This impacts the , and spouses of informal workers/migrants at the source, making them vulnerable to infections from their husband.
  ,
  ,
  RRE has been recognized as the world's largest mass mobilization drive on HIV. Last year, around 80 lakh people were reached through the train and outreach activities.
  ,
  ,
  Around 81,000 district resource persons were trained, 36,000 people got themselves tested for HIV and 28,000 people received general health check-up services.
  ,
  ,
  Impact assessment of RRE indicated that the comprehensive knowledge of routes of HIV transmission, methods of prevention, condom use, STI prevention and treatment was significantly higher among respondents exposed to the RRE project compared to those not exposed.
  

"
"Updated: Jan 10, 2012, 04:58 IST",HIV patient's blood may hold key to AIDS vaccine,"

  NEW DELHI: Could an antibody from the blood of a HIV patient help create the elusive HIV vaccine?
  
  ,
  The hunt has begun to identify 100 volunteers belonging to a rare group of HIV infected patients who stay healthy for years without requiring life-saving antiretroviral treatment (ART). These antibodies in their blood are the ones that bars HIV from entering their blood cells and replicating , thereby progressing to AIDS.
  ,
  ,
  Scientists say these antibodies would ultimately reveal the Achilles heel of the virus and help create the elusive vaccine. This is part of International Aids Vaccine Initiative's (IAVI) programme called ,, a global hunt for such antibodies launched in 2006.
  ,
  ,
  So far, , of 1,800 such HIV patients have been screened across 12 countries and 19 broadly neutralizing antibody (bNAbs) have been identified. A bNAb is an antibody capable of stopping a variety of HIV subtypes from infecting their target cells.
  ,
  ,
  ""Only a minority of people who are infected with HIV produce bNAbs. Although HIV is a wildly mutable virus, certain parts of it are relatively resistant to change. These are essential to the virus's ability to infect , and they are the elements of HIV that bNAbs target,"" experts said.
  ,
  ,
  Just a few weeks ago, department of biotechnology (DBT) cleared the proposal to roll out Protocol G in the country. It is being implemented by IAVI and YRG Care from Chennai - the same organization that isolated the first HIV case in India in 1986.
  ,
  ,
  The blood samples collected from the 100 volunteers will be tested at Translational Health Sciences and Technology Institute (THSTI), which is being built in Gurgaon.
  

"
"Updated: Jan 13, 2012, 04:52 IST",Second line therapy facility for HIV+ to be opened at SMS soon,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 16, 2012, 04:30 IST",Over 200 undergo HIV testing at Churu meet,"

  JAIPUR: More than 200 persons underwent , at the Red Ribbon Express (RRE) in Churu on Sunday. Churu is one of the 108 identified stations in the country which is both an HIV source and a destination of migrant workers.
  
  ,
  Officials of medical department carried out counselling to persuade people visiting the RRE to undergo HIV testing. The department managed to get the consent of more than 200 persons for HIV testing.
  ,
  ,
  ""The report of the test will be made available in two or three days from the nearest Integrated Counselling and Testing Centre (ICTC). It is our effort to test as many people as we can but with the consent of the persons,"" said joint director, Rajasthan State AIDS Control Society, Pradeep Choudhary.
  ,
  ,
  The RRE was flagged off in Delhi on National Youth Day on January 12. ""Through this, we will be able to get a rough idea about the number of people who are living with HIV in the district,"" said a medical department official.
  ,
  ,
  The officials claimed that more than 3,500 people visited the RRE in Churu. It is the third phase of the RRE launched recently. Last time, it was more women-oriented but this time around it is more focused on youths as it is launched on National Youth Day.
  

"
"Updated: Jan 16, 2012, 02:16 IST",MLC takes up HIV kids' cause,"

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 14, 2012, 05:38 IST",Lab technician gets jail for 'declaring' man HIV+,"

  ,
  ,
  ,
  ,
  ,
  ,

"
"Updated: Jan 18, 2012, 02:15 IST","Doctors debate HIV testing, pitfalls","

  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,
  ,

"
